, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 
1, 4, -2, 0, 0, 1, 3, 0, -4, -2, 0, -2, 0, 2, -4, -3, 
2, , 6, 3, -4, 10, 6, 0, -2, 0, 0, 0, 0, -5, 0, 2, 
3, , , -1, 1, -1, 5, -1, 2, -2, 4, 4, -6, -1, 4, -4, 
4, , , , 4, -3, 4, -1, 7, -3, 10, 2, -4, 0, 4, 2, 
5, , , , , 10, 6, 6, 5, 0, 6, -2, -7, 1, -4, 4, 
6, , , , , , -4, 6, 10, -8, 5, 2, 6, 8, 4, -4, 
7, , , , , , , -2, -6, 4, 8, 2, -2, 0, 0, 10, 
8, , , , , , , , 10, -6, 2, 10, -2, 10, 2, -4, 
9, , , , , , , , , -6, 2, 0, 4, -2, -4, 2, 
10, , , , , , , , , , 9, 8, -3, 8, -2, 2, 
11, , , , , , , , , , , 6, 4, 10, -2, 10, 
12, , , , , , , , , , , , -6, 5, 4, 10, 
13, , , , , , , , , , , , , 9, -10, 2, 
14, , , , , , , , , , , , , , -10, -2, 
15, , , , , , , , , , , , , , , -4, 
